cpu2gpu_time	gpu_time
0.002685785	2.618066072
0.002213240	0.203204870
0.002011776	0.203032732
0.002036810	0.202299118
0.002046585	0.202678204
0.002018929	0.202616215
0.002012730	0.202508450
0.002064228	0.202786207
0.002051830	0.202238798
0.001997471	0.202148199
0.002015352	0.202725172
0.002018929	0.202618122
0.002026796	0.203105450
0.002022505	0.203982115
0.002031326	0.204244375
0.002018929	0.202783108
0.002006769	0.202836514
0.002166748	0.202489376
0.002125263	0.202483177
0.002161026	0.202962875
0.002014399	0.202231884
0.002153635	0.202250719
0.002037048	0.202437162
0.002054453	0.202805519
0.002161503	0.203988075
0.002010822	0.203522921
0.001996756	0.202830791
0.002004862	0.202713966
0.002156973	0.203611374
0.002044916	0.203289032
0.002029181	0.202757835
0.001976490	0.202764750
0.001989841	0.205345392
0.002022028	0.202846527
0.006859303	0.206733704
0.002011538	0.203377962
0.001997471	0.202507734
0.002020597	0.202710390
0.002068996	0.202849627
0.001986742	0.202714920
0.001989841	0.202528000
0.002000332	0.203253984
0.002064228	0.203188419
0.001987696	0.202790737
0.001983643	0.206686974
0.002010822	0.202601671
0.002112389	0.205252647
0.002005100	0.202432394
0.002002239	0.203752756
0.002023220	0.203277349
0.002003670	0.202665806
0.001989365	0.202727079
0.005492449	0.202791452
0.001998186	0.202761412
0.002040148	0.202959061
0.002002954	0.202875376
