cpu2gpu_time	gpu_time
0.059195042	2.120314360
0.022538185	0.087458611
0.010509729	0.087439537
0.010522604	0.086844444
0.010544062	0.087430239
0.010493279	0.086750031
0.010560513	0.088097811
0.010621548	0.104796648
0.010505915	0.087368250
0.010608673	0.086850882
0.010565042	0.087477684
0.010520935	0.086676359
0.010518789	0.086900711
0.010557890	0.086825132
0.010555029	0.087487698
0.010499239	0.086648226
0.010568142	0.087421894
0.010540247	0.087377310
0.010564566	0.087385893
0.010497332	0.087315321
0.010574818	0.087472439
0.010574818	0.087786436
0.010636330	0.087979078
0.010503292	0.086627483
0.010507822	0.087383032
0.010588408	0.086829662
0.010557652	0.087410688
0.010488749	0.087304592
0.010561705	0.086749792
0.010520935	0.087312698
0.010567904	0.086792231
0.010577440	0.087317705
0.010534048	0.086787462
0.010577679	0.086738586
0.010596037	0.087148190
0.010492563	0.087372541
0.010533571	0.086796045
0.010555267	0.086855650
0.010606050	0.087833405
0.010505199	0.086744785
0.010632277	0.086970329
0.010457754	0.086543560
0.011782169	0.086921930
0.011732817	0.086565971
0.000578642	0.128355265
