cpu2gpu_time	gpu_time
0.012315273	3.859408140
0.027025700	0.760536909
0.011510849	0.493326187
0.011598587	0.494716167
0.011608601	0.494915724
0.011558294	0.494587660
0.011628866	0.494784117
0.011717319	0.495490551
0.011704206	0.495466471
0.011694431	0.495038748
0.011685610	0.495119572
0.011835098	0.497648716
0.011810541	0.508139372
0.011571407	0.495261908
0.011808157	0.495829105
0.011710882	0.495848417
0.011601925	0.493813515
0.011779785	0.495087624
0.011730909	0.495948315
0.011824131	0.494780540
0.011635542	0.494567156
0.011575460	0.494515896
0.011883974	0.495247126
0.012029171	0.495534420
0.011747599	0.493201971
0.011641741	0.494937420
0.011711121	0.494713068
0.011594057	0.494614124
0.011592627	0.495967150
0.011806011	0.495368242
0.011516333	0.494612455
0.011593103	0.495229244
0.011731386	0.494721413
0.012569427	0.494510651
0.011666059	0.494936466
0.011817455	0.494987965
0.012861252	0.493919373
0.012857914	0.494967699
0.012919426	0.494273901
0.012859583	0.494274616
0.001684904	0.741307497
