data_stall_time	cpu2gpu_time	gpu_time
1.893588543	0.001580000	0.164968967
0.057966232	0.001580000	0.147242546
0.000375986	0.001580000	0.174099445
0.001142979	0.001580000	0.147239208
0.000387430	0.001580000	0.147247314
0.000448942	0.001580000	0.147239923
0.000423193	0.001580000	0.147196770
0.000408649	0.001580000	0.152394295
0.102765560	0.001580000	0.152267694
0.118213177	0.001580000	0.147178173
0.000256538	0.001580000	0.147183418
0.000342607	0.001580000	0.147181749
0.000285149	0.001580000	0.147228718
0.000416517	0.001580000	0.147178888
0.000255823	0.001580000	0.152269363
0.021352530	0.001580000	0.150438547
0.195817471	0.001580000	0.152273893
0.186425447	0.001580000	0.147239208
0.000609398	0.001580000	0.147243500
0.000434399	0.001580000	0.147246838
0.000424623	0.001580000	0.147142887
0.000625134	0.001580000	0.147249222
0.000439644	0.001580000	0.147252798
0.000563622	0.001580000	0.152369976
0.045739889	0.001580000	0.147236109
0.407783747	0.001580000	0.147198677
0.000522614	0.001580000	0.152393341
0.016205549	0.001580000	0.147252798
0.000395298	0.001580000	0.147246361
0.000552893	0.001580000	0.147245169
0.000392914	0.001580000	0.158985615
0.000750542	0.001580000	0.147263527
0.000644922	0.001580000	0.147248268
0.180531502	0.001580000	0.147263527
0.000422001	0.001580000	0.147246599
0.000425339	0.001580000	0.147255659
0.000388384	0.001580000	0.147255898
0.000578880	0.001580000	0.167538404
0.000500917	0.001580000	0.147257328
0.000559568	0.001580000	0.147256851
0.000602722	0.001580000	0.152392626
0.314499140	0.001580000	0.156252384
0.000364304	0.001580000	0.152427435
0.016177654	0.001580000	0.147252798
0.000404835	0.001580000	0.147181034
0.000451803	0.001580000	0.147245646
0.000327587	0.001580000	0.147257090
0.000524759	0.001580000	0.147244692
0.000566006	0.001580000	0.152401447
0.036470890	0.001580000	0.147256374
0.000409365	0.001580000	0.147256613
0.000412464	0.001580000	0.156718969
0.000494480	0.001580000	0.147244930
0.000381231	0.001580000	0.147237539
0.000338554	0.001580000	0.147250891
0.000534534	0.001580000	0.147265434
0.000607491	0.001580000	0.152344465
0.014750719	0.001580000	0.147251606
0.000384569	0.001580000	0.147256613
0.000426292	0.001580000	0.147581816
0.000418425	0.001580000	0.147176981
0.058696508	0.001580000	0.147265196
0.000428200	0.001580000	0.156368256
0.000584841	0.001580000	0.147249937
0.000541925	0.001580000	0.152420998
0.092234612	0.001580000	0.147242308
0.000393629	0.001580000	0.152426481
0.026886940	0.001580000	0.147255659
0.000419855	0.001580000	0.152381659
0.024484873	0.001580000	0.152290821
0.015928268	0.001580000	0.147264004
0.000587463	0.001580000	0.147256613
0.000470400	0.001580000	0.147255421
0.000516653	0.001580000	0.147249937
0.000427485	0.001580000	0.147194147
0.000419378	0.001580000	0.147243738
0.000468731	0.001580000	0.147248507
0.120795012	0.001580000	0.147244930
0.000447035	0.001580000	0.147237062
0.000549793	0.001580000	0.147241592
0.000592232	0.001580000	0.152347326
0.319385290	0.001580000	0.147250414
0.000417471	0.001580000	0.147236824
0.000407219	0.001580000	0.152393103
0.016209126	0.001580000	0.147257805
0.093920708	0.001580000	0.147239923
0.000437260	0.001580000	0.152377367
0.029462576	0.001580000	0.152741194
0.000683546	0.001580000	0.147245407
0.000447035	0.001580000	0.152390957
0.015931606	0.001580000	0.147247076
0.000439882	0.001580000	0.152373075
0.015985966	0.001580000	0.147259474
0.067435503	0.001580000	0.147247314
0.000437737	0.001580000	0.147239447
0.000545502	0.001580000	0.147248268
0.000589848	0.001580000	0.157304764
0.000550270	0.001580000	0.158127546
0.000501871	0.001580000	0.147248268
0.000420809	0.001580000	0.147184134
0.000408649	0.001580000	0.147246599
0.400843143	0.001580000	0.147257805
0.000440121	0.001580000	0.150450230
0.000529051	0.001580000	0.147245646
0.000551462	0.001580000	0.147250175
0.000453949	0.001580000	0.147249937
0.000435829	0.001580000	0.163866043
0.000493288	0.001580000	0.147249699
0.000413179	0.001580000	0.147182941
0.127872705	0.001580000	0.147259951
0.000440121	0.001580000	0.147247791
0.000568390	0.001580000	0.147243977
0.000554562	0.001580000	0.147248983
0.056413651	0.001580000	0.147248507
0.000467300	0.001580000	0.152332783
0.028483868	0.001580000	0.147248983
0.000412464	0.001580000	0.147250175
0.112558365	0.001580000	0.147280216
0.000739098	0.001580000	0.147256613
0.000561237	0.001580000	0.147269011
0.000598669	0.001580000	0.147248983
0.000471592	0.001580000	0.147256851
0.000439405	0.001580000	0.147246838
0.000443459	0.001580000	0.147256374
0.000419855	0.001580000	0.147253990
0.085912228	0.001580000	0.147258759
