cpu2gpu_time	gpu_time
0.010017395	2.405755758
0.001972675	0.156543016
0.001710892	0.156090736
0.001558065	0.156327724
0.001706362	0.156381607
0.001606703	0.156377077
0.005507946	0.156047344
0.001541615	0.155890942
0.001571178	0.156059980
0.001600742	0.155992270
0.001618624	0.162984371
0.001585960	0.155750751
0.001643419	0.156538486
0.001538038	0.156423330
0.001677513	0.156721115
0.001701832	0.156843662
0.001719475	0.156751633
0.001572371	0.156694889
0.001580954	0.155828238
0.001742601	0.156339407
0.001756907	0.156354427
0.001671791	0.156186104
0.001562357	0.156062841
0.001727581	0.156722784
0.001601696	0.156505585
0.001578331	0.156551123
0.001622200	0.156393290
0.001714706	0.157403946
0.001764059	0.156213284
0.001758575	0.158113003
0.005430698	0.156133175
0.001763344	0.156256199
0.001739264	0.157381773
0.001673937	0.161238194
0.001637697	0.157363653
0.001568556	0.156341076
0.001571178	0.156359196
0.001565695	0.156390667
0.001573324	0.156867266
0.001582146	0.156327963
0.001585484	0.156121969
0.001550913	0.159095049
0.001548052	0.155877590
0.001572371	0.155825138
0.001561403	0.155886173
0.001571894	0.156001091
0.001543522	0.156109095
0.001561403	0.155728340
0.001553774	0.155760765
0.001688480	0.156045675
0.001599550	0.155899763
0.001583338	0.156133413
0.001546144	0.155979395
0.001561165	0.156315804
0.001541376	0.156580210
0.001561880	0.160852909
