cpu2gpu_time	gpu_time
0.047907114	2.048459530
0.008489609	0.072615862
0.008455753	0.073485374
0.008497238	0.072642088
0.008475542	0.072749376
0.008487701	0.073591471
0.019696712	0.073143959
0.008465290	0.072722197
0.008468151	0.073228598
0.008543253	0.072896481
0.008578777	0.073622704
0.008808136	0.089552164
0.008482456	0.072561026
0.008541107	0.073430777
0.008627415	0.072956324
0.008460045	0.073218584
0.008459091	0.073166132
0.008522034	0.072715759
0.008562565	0.073340416
0.008463621	0.073329210
0.008506536	0.073783875
0.008500338	0.072681189
0.008653641	0.073624372
0.008465767	0.073271275
0.008482933	0.072628975
0.008485556	0.072688103
0.008585691	0.072933197
0.008493900	0.072495222
0.008526564	0.072917938
0.008602858	0.083789349
0.008585453	0.073156118
0.008501053	0.072625637
0.008451939	0.072492599
0.008464813	0.072561026
0.008592129	0.073443890
0.008455515	0.073161840
0.008465767	0.072445154
0.008444309	0.072592497
0.008584023	0.073070765
0.008581638	0.075097561
0.008504152	0.072754622
0.008516550	0.073373556
0.008564949	0.073512554
0.008490086	0.073355913
0.008483410	0.073256254
0.008476973	0.072619438
0.008579254	0.073128700
0.008598328	0.072918177
0.008491278	0.072772503
0.008538485	0.073155403
0.009554625	0.074084282
0.009407520	0.073210239
0.009412527	0.073016167
0.009559393	0.073205471
0.006419897	0.528819323
