cpu2gpu_time	gpu_time
0.028337955	2.378997326
0.010993481	0.194300413
0.004329443	0.188419819
0.004347801	0.188381910
0.004383087	0.188684464
0.004395008	0.198900700
0.004369974	0.188901424
0.004401445	0.188585281
0.004419088	0.188887596
0.004461288	0.188871145
0.004447222	0.189021349
0.004379749	0.189082861
0.015678167	0.188940525
0.004359007	0.188512325
0.004390955	0.188794613
0.019231796	0.189114094
0.004400730	0.188998699
0.004377127	0.188973665
0.004392624	0.189444304
0.004362106	0.188807964
0.004477024	0.189698458
0.004512548	0.189131021
0.004368067	0.188986778
0.004407406	0.189615011
0.004411459	0.188892603
0.013006210	0.188661575
0.004361391	0.188802958
0.004378796	0.188630342
0.004422903	0.189252138
0.004575968	0.188824177
0.004350901	0.188705683
0.015711069	0.189123154
0.004379749	0.188918829
0.004384518	0.188256264
0.004365683	0.188565254
0.004413605	0.189329624
0.004357576	0.192804813
0.004383087	0.189612865
0.004537106	0.190593481
0.004416704	0.190141439
0.004475355	0.190242529
0.004367352	0.190807819
0.004430294	0.190167904
0.004398823	0.190114737
0.004577637	0.190404177
0.004387379	0.189561605
0.004380941	0.190317631
0.004401922	0.190289497
0.004433155	0.191623926
0.004380226	0.189852715
0.004463911	0.189707994
0.004382133	0.189593554
0.004456997	0.189405680
0.004374981	0.189351320
0.004464388	0.189913273
0.004410982	0.189900398
