cpu2gpu_time	gpu_time
0.010756731	2.083245277
0.022342682	0.085083723
0.010052204	0.082811356
0.010050774	0.083454609
0.010016441	0.083500385
0.010032177	0.083906651
0.010050774	0.084007025
0.010048389	0.082871437
0.010072231	0.083596230
0.010243893	0.112489462
0.010089159	0.084150314
0.010040760	0.083490849
0.010080576	0.082880735
0.010119438	0.083078623
0.010066748	0.083313704
0.010083914	0.082959652
0.010068893	0.083573341
0.010061026	0.083066225
0.010055780	0.083029032
0.010077000	0.082858801
0.010075331	0.083598375
0.010068655	0.083369970
0.010097742	0.083065271
0.010063887	0.083523750
0.010099649	0.083666325
0.010093689	0.083689928
0.010135174	0.083759546
0.010082722	0.082951069
0.010095835	0.083951235
0.010072708	0.083270073
0.010089874	0.083618402
0.010097980	0.083704472
0.010049820	0.083190203
0.010062456	0.083517551
0.010048389	0.082785130
0.010077953	0.083608389
0.010035992	0.082888126
0.010137081	0.083798647
0.010046721	0.083908796
0.010144472	0.084074020
0.010067463	0.083060265
0.010191441	0.105726719
0.010017633	0.082998991
0.011143208	0.083037138
0.011114120	0.083585978
0.010261059	0.083997011
0.002038717	0.250396252
