cpu2gpu_time	gpu_time
0.027985811	2.486675024
0.011243820	0.200588703
0.004445791	0.192840099
0.004488468	0.192546368
0.004460812	0.192985296
0.004565954	0.193123579
0.004465580	0.204441071
0.004536629	0.193290949
0.004470825	0.193782568
0.004481316	0.193169594
0.004456520	0.193309784
0.004521132	0.196281910
0.004466534	0.201689482
0.004480839	0.192492008
0.004562855	0.193476677
0.004485607	0.193659067
0.004508495	0.193859100
0.014401197	0.193748474
0.004614830	0.193662405
0.004462719	0.192929983
0.004527807	0.193644047
0.004517078	0.193530321
0.004496813	0.193869352
0.004471064	0.193346024
0.015491247	0.192883968
0.004586697	0.193247795
0.004525185	0.193340302
0.004511118	0.193454742
0.004494905	0.193048239
0.006977797	0.194839239
0.004539728	0.193544388
0.004468203	0.193406820
0.004482031	0.193506002
0.004492283	0.193315506
0.004612684	0.193826675
0.004552841	0.193497181
0.007131815	0.193947792
0.004557133	0.193809986
0.004563808	0.193888187
0.004487753	0.193849564
0.015646458	0.193446398
0.004481554	0.193842173
0.004522800	0.194002867
0.004482746	0.193874359
0.004506588	0.193527699
0.004528284	0.202385902
0.004487038	0.193507671
0.004561186	0.193619490
0.004518032	0.193777323
0.004538774	0.193449259
0.004554749	0.193372965
0.004544973	0.193319798
0.004472494	0.193940878
0.004539251	0.193243504
0.004520178	0.193549156
0.004488230	0.193506718
