cpu2gpu_time	gpu_time
0.044837236	2.774133205
0.021758318	0.231094599
0.009040833	0.232266665
0.008275986	0.230870008
0.008177519	0.230186939
0.008186817	0.230761051
0.008162975	0.230623007
0.008267403	0.230874300
0.008276463	0.230822802
0.008157253	0.230595589
0.024537325	0.230470419
0.008169174	0.230228662
0.008175135	0.230738878
0.008265018	0.230908155
0.008337498	0.230851412
0.010583162	0.230670691
0.008168459	0.230287075
0.008181334	0.231979370
0.008326769	0.230744362
0.008166313	0.230532169
0.008153439	0.230379581
0.008177280	0.230634451
0.008240700	0.237139463
0.008186340	0.230946302
0.008229733	0.231396437
0.008190393	0.230667830
0.008190155	0.230814934
0.008169174	0.230992556
0.008174658	0.247096062
0.008373260	0.230627775
0.008189440	0.230543137
0.008165598	0.230549574
0.008164883	0.230529547
0.008237600	0.230815649
0.008219719	0.230432272
0.008161783	0.230545521
0.008226871	0.230877876
0.008212090	0.230919123
0.008163691	0.230730057
0.008180141	0.230555534
0.008206606	0.230842590
0.008196115	0.231124878
0.008170366	0.230900288
0.008158684	0.230488777
0.025646925	0.230750084
0.008235216	0.230564833
0.008166075	0.230992794
0.008175373	0.230451345
0.008275986	0.230423927
0.008174896	0.230841398
0.008174419	0.230687857
0.008181095	0.230566025
0.008238554	0.230427980
0.008255959	0.230887651
0.008203268	0.230711699
0.009134293	0.229672670
