cpu2gpu_time	gpu_time
0.003370285	2.100563049
0.002440214	0.016223669
0.002423048	0.015448332
0.002405405	0.015568495
0.002422810	0.015657663
0.002411366	0.015712023
0.002405882	0.015799761
0.002403736	0.015679121
0.002412081	0.015724897
0.002429962	0.015815973
0.002408266	0.015820742
0.002405882	0.015673637
0.002405167	0.015738010
0.002405643	0.015696049
0.002407074	0.015744925
0.002404928	0.015790701
0.002407551	0.015738010
0.002408504	0.015672922
0.002419710	0.015663147
0.002405405	0.015713692
0.002405405	0.015706539
0.002407074	0.015733242
0.002403498	0.015877008
0.002406120	0.015769958
0.002406597	0.015680790
0.002415180	0.015740395
0.002506018	0.016432524
0.002408743	0.015869141
0.002408266	0.015637159
0.002407312	0.015766859
0.002404451	0.015897036
0.002412081	0.015840530
0.002494812	0.016379118
0.002426863	0.015561104
0.002407312	0.015781641
0.002404928	0.015839815
0.002407312	0.015831470
0.002407789	0.015651703
0.002408266	0.015757322
0.002404451	0.015821457
0.002406359	0.015823603
0.002472878	0.016005278
0.002410173	0.015738726
0.002404213	0.015727520
0.002405882	0.015841246
0.002404213	0.015662670
0.002405167	0.015691042
0.002404928	0.015826702
0.002406359	0.015861273
0.002608776	0.016695023
0.002409697	0.015830755
0.002405882	0.015741110
0.002411604	0.015722275
0.002404690	0.015851021
0.002403736	0.015750647
0.002405882	0.015835524
