cpu2gpu_time	gpu_time
0.002825975	3.496585369
0.003634930	0.120859861
0.001792908	0.103957415
0.001769543	0.104440451
0.002001286	0.103966951
0.001957893	0.104282618
0.001853466	0.104112148
0.001768827	0.103905678
0.001782894	0.104424715
0.001781702	0.103960514
0.001776457	0.104308367
0.001785278	0.104282618
0.001782179	0.104111671
0.001770973	0.104447603
0.001913309	0.104049683
0.001770258	0.104537010
0.001777172	0.104099989
0.001778603	0.104450226
0.001806974	0.103914261
0.001769304	0.104493618
0.001770258	0.103960991
0.001829624	0.103988171
0.001846313	0.104401112
0.001774549	0.104330778
0.001792192	0.104053020
0.001772881	0.104435921
0.001769781	0.104520798
0.001770735	0.103983402
0.001777649	0.104225874
0.001771927	0.104137182
0.001770496	0.103796959
0.001773357	0.104217529
0.001811028	0.104188204
0.001772642	0.104429483
0.001769304	0.104050636
0.001774073	0.104153633
0.001795530	0.103982687
0.001769066	0.104285240
0.001769304	0.104247808
0.001777887	0.104171753
0.001774788	0.103977203
0.001779795	0.104084015
0.001771450	0.104325294
0.001768589	0.104093075
0.001777887	0.104006529
0.001769304	0.104124546
0.001778603	0.104132891
0.001778841	0.104062557
0.001772642	0.104139566
0.001775265	0.104179859
0.001770735	0.104146004
0.001771212	0.103999615
0.001770020	0.104774714
0.001773357	0.104128599
0.001768112	0.103931665
0.001768827	0.103992939
