cpu2gpu_time	forward_time	backward_time
0.031423569	0.467510700	0.086812496
0.006339312	0.036458015	0.075405359
0.006414175	0.036160469	0.071834564
0.006343603	0.054644346	0.071219206
0.006338596	0.034137011	0.070764303
0.006331205	0.034082174	0.070817709
0.006347656	0.034219027	0.070869684
0.006347418	0.034158945	0.070976019
0.006381035	0.034250975	0.071082115
0.006385326	0.034237146	0.070877314
0.006334543	0.034155607	0.070865393
0.006332159	0.034121990	0.070656061
0.006386518	0.034155846	0.070552349
0.006370783	0.034156561	0.070597649
0.006335735	0.034075022	0.070666313
0.006325722	0.034065008	0.070814610
0.006378889	0.034114122	0.070595264
0.006377935	0.034125328	0.070527554
0.006370544	0.034093857	0.070463896
0.006377459	0.034084320	0.070631981
0.006376266	0.034129143	0.070508242
0.006376028	0.034110785	0.070472240
0.006337166	0.034065962	0.070429087
0.006366730	0.034141779	0.070693970
0.006387472	0.034107208	0.070492983
0.006336927	0.034054518	0.070519209
0.006339550	0.034062862	0.070540667
0.006370544	0.034105539	0.070526123
0.006427288	0.034194708	0.070497990
0.006345987	0.034068108	0.070522070
0.006344080	0.034061670	0.070510626
0.006402016	0.034040451	0.070705652
0.006401062	0.034154415	0.070441961
0.006360292	0.034044504	0.070471764
0.006344795	0.034094810	0.079090834
0.006343842	0.034054518	0.070499659
0.006399870	0.034164667	0.070631266
0.006370783	0.034098625	0.079271317
0.006345272	0.034061193	0.080337763
0.006334305	0.034043550	0.070651293
0.006420851	0.034225702	0.070632935
0.006431341	0.034103155	0.070570707
0.006328344	0.034009933	0.070510149
0.006325722	0.034035206	0.070677996
0.006369829	0.034094810	0.070680857
0.006362915	0.034064531	0.079687595
0.006322861	0.034006596	0.070628166
0.006340265	0.034045219	0.070588112
0.006381989	0.034103394	0.070542336
0.006375790	0.034116745	0.070616245
0.006330490	0.034038305	0.070540905
0.006377220	0.034116983	0.070675135
0.006381989	0.034170151	0.080062389
0.006402493	0.034093380	0.070634842
0.006354570	0.034206152	0.070955276
0.006351233	0.034075737	0.070749521
0.006387949	0.034085751	0.078483343
0.006367445	0.034102917	0.070636511
0.006348372	0.034052372	0.070562124
0.006341457	0.034040928	0.070640087
0.006392717	0.034093618	0.070614100
0.006355047	0.034086466	0.070648670
0.006334305	0.034052849	0.070758820
0.006363392	0.034091949	0.070618153
0.006349802	0.034054756	0.070572376
0.006404877	0.034195900	0.070763350
0.007756233	0.034070969	0.070610285
0.006343603	0.034046650	0.070662498
0.006342888	0.034066677	0.070658207
0.006386518	0.034099102	0.070557117
0.006321669	0.034003019	0.070789099
0.006356955	0.034064531	0.070832729
0.006355286	0.034065723	0.070571661
0.006396294	0.034119844	0.070533037
0.006344557	0.034046412	0.070553780
0.006358624	0.034057140	0.070512533
0.006391287	0.034107208	0.070582390
0.006371737	0.034119129	0.070799351
0.006341457	0.034049273	0.070714712
0.006334543	0.034054279	0.070676327
0.006375790	0.034140110	0.081975937
0.006373644	0.034096956	0.070695400
0.006341934	0.034053802	0.070627213
0.006341457	0.034071207	0.070621490
0.006371975	0.034115791	0.070632696
0.006337166	0.034066200	0.070566416
0.006350279	0.034044743	0.070695162
0.006331682	0.034029722	0.070830584
0.006379366	0.034079075	0.071791887
0.006353140	0.034048319	0.070581436
0.006332636	0.034034491	0.070611477
0.006335258	0.034051180	0.070585728
0.006387949	0.034136295	0.070606947
0.006345749	0.034027576	0.070548773
0.006332874	0.034027815	0.070528030
0.006337404	0.034053564	0.070523262
0.006386757	0.034112453	0.070486784
0.006369829	0.034066916	0.070566893
0.006357193	0.034068108	0.070618868
0.006356716	0.034060240	0.070675850
0.006410837	0.034154415	0.070589066
