cpu2gpu_time	gpu_time
0.031508446	0.614702940
0.005620718	0.234292746
0.015844822	0.213398933
0.005649567	0.213360071
0.005583048	0.221189737
0.005677462	0.213187933
0.005617857	0.213370085
0.005714655	0.213437557
0.005658150	0.213352442
0.005682468	0.213333130
0.005619287	0.213423014
0.005733728	0.213532686
0.005621433	0.213631630
0.005631924	0.213355303
0.005677700	0.213403702
0.005737782	0.213432312
0.005624294	0.213473320
0.005650997	0.213309050
0.005668879	0.213228703
0.005601645	0.213405848
0.005725861	0.213474989
0.005607843	0.213410139
0.005616188	0.213385105
0.005623341	0.213325024
0.005716801	0.213222742
0.005667925	0.213232279
0.005663395	0.213474751
0.005644798	0.213523626
0.005776644	0.213320494
0.005663872	0.213965893
0.005599022	0.213453531
0.005791664	0.242846489
0.005630732	0.214421749
0.005607843	0.213767052
0.005662918	0.213444471
0.005658627	0.213359118
0.005627155	0.213382483
0.005745411	0.213317633
0.005612135	0.213333607
0.005633354	0.223578930
0.005642891	0.213315964
0.005642891	0.213397980
0.005642414	0.213586807
0.005638123	0.213313103
0.005629301	0.213366508
0.005710125	0.213431597
0.005622387	0.213330030
0.005658865	0.213424921
0.005598068	0.213444233
0.005708456	0.213358164
0.005660534	0.216102600
0.005650282	0.213333130
0.005623817	0.213363171
0.005679607	0.213340759
0.005624533	0.213367701
0.005617619	0.213387012
