cpu2gpu_time	gpu_time
0.002219200	0.444738865
0.001504898	0.064651251
0.001512051	0.061580181
0.001522541	0.061046600
0.001533985	0.061024189
0.001567602	0.061253786
0.001540184	0.061045408
0.001511335	0.060827732
0.001547098	0.060847998
0.001541376	0.060784340
0.001512051	0.060904741
0.001603365	0.060835123
0.001539230	0.060659409
0.001559019	0.060714722
0.001602173	0.060760975
0.001529694	0.060866833
0.001538277	0.060746670
0.001536369	0.060672283
0.001520157	0.060690880
0.001603842	0.062794209
0.001532555	0.060714006
0.001534224	0.060625553
0.001517534	0.060780764
0.001583815	0.060657978
0.001586676	0.060742617
0.001585722	0.060726404
0.001511335	0.060742378
0.001587152	0.061309338
0.005039454	0.060631514
0.001548290	0.060780287
0.001562119	0.060840368
0.001610518	0.060894966
0.001574278	0.060833693
0.001547575	0.060985088
0.001548052	0.060887814
0.001593828	0.060909748
0.001549006	0.060884714
0.001574993	0.060907602
0.001547575	0.063960791
0.001543999	0.060652018
0.001536846	0.063831568
0.001552820	0.060861349
0.001549482	0.060793161
0.001574516	0.060832500
0.001562595	0.065085173
0.001529694	0.060741663
0.001590252	0.062803507
0.001556396	0.060758591
0.001580000	0.061892748
0.001549482	0.060843945
0.001552343	0.060961246
0.001533270	0.060779095
0.001560926	0.062304258
0.001528263	0.060814857
0.001542807	0.060806513
0.001526117	0.060763597
