cpu2gpu_time	forward_time	backward_time
0.007594109	1.668475151	0.806735516
0.010447979	0.011678934	0.022258997
0.006314993	0.008870840	0.021948338
0.006321192	0.008846521	0.022040844
0.006319761	0.008851290	0.022118330
0.006311893	0.008858919	0.022209167
0.006310940	0.008838654	0.022192717
0.006311417	0.008856773	0.022297382
0.006311417	0.008830547	0.022396803
0.006496429	0.009057522	0.021769047
0.006445646	0.009009600	0.021816015
0.006318808	0.008856058	0.021749496
0.006318331	0.008872986	0.021771908
0.006393671	0.008938789	0.022040606
0.006476879	0.009057283	0.021774530
0.006317616	0.008839846	0.021738529
0.006316662	0.008850098	0.021771908
0.006410837	0.008915186	0.021798372
0.006464720	0.009071112	0.021850586
0.006318092	0.008801699	0.021790028
0.006316900	0.008825779	0.021792173
0.006513119	0.009698868	0.025163889
0.006439686	0.009792566	0.023133039
0.006324291	0.009537935	0.023030043
0.006321669	0.009498358	0.023000956
0.006419420	0.009007215	0.022163868
0.006471395	0.009199142	0.022193670
0.006377697	0.008990288	0.022050619
0.006317616	0.008988857	0.022030592
0.006398439	0.008886814	0.021910429
0.006438732	0.008944273	0.022112370
0.006334305	0.008805513	0.021779299
0.006336689	0.008833647	0.021762371
0.006428957	0.008930922	0.021869421
0.006448030	0.008985043	0.021804810
0.006318569	0.008851767	0.021854162
0.006320000	0.008799791	0.021790981
0.006410599	0.008934498	0.021817446
0.006379604	0.008896589	0.021942616
0.006319284	0.008840084	0.021782398
0.006366253	0.008833885	0.021810055
0.006380320	0.008860588	0.022006989
0.006446838	0.008993387	0.021834612
0.006317139	0.010722399	0.021839380
0.006334543	0.008804321	0.021787167
0.006499529	0.009040594	0.021914721
0.006438017	0.008998632	0.021811962
0.006318808	0.008835316	0.021802664
0.006320238	0.008852243	0.021772623
0.006444216	0.008958101	0.021872282
0.006422520	0.008899212	0.022009134
0.006340265	0.008853197	0.021782637
0.006324291	0.008835316	0.021787167
0.006404638	0.008939505	0.021829367
0.006318569	0.008811235	0.021821022
0.006335258	0.008793116	0.021808147
0.006317139	0.008857727	0.021731615
0.006501675	0.009113073	0.021823168
0.006324530	0.008814096	0.021794558
0.006343126	0.008805037	0.022019148
0.006326199	0.008846760	0.021784306
0.006423712	0.008964300	0.021827459
0.006492138	0.009035349	0.021819830
0.006335258	0.008835793	0.021779060
0.006317854	0.008842468	0.021777153
0.006638288	0.009077787	0.022647858
0.006474257	0.008987188	0.021818876
0.006317377	0.008820534	0.021767855
0.006318808	0.008834839	0.021756887
0.006562948	0.009114981	0.021851778
0.006438732	0.008946180	0.022145271
0.006319284	0.008818150	0.021776676
0.006342411	0.008852005	0.021816730
0.006493568	0.009047508	0.021795034
0.006415367	0.008930683	0.021822691
0.006324053	0.008821487	0.021772385
0.006321430	0.008852959	0.021782875
0.006400824	0.008882284	0.022157669
0.006401539	0.008918285	0.022039652
0.006324768	0.008832693	0.021795273
0.006325483	0.008839369	0.021874189
0.006437778	0.008967161	0.021775961
0.006475210	0.009032965	0.021801472
0.006318569	0.008840799	0.021777868
0.006343126	0.008821964	0.021953821
0.006421566	0.008944035	0.021842480
0.006459236	0.009014845	0.021809101
0.006317139	0.008813858	0.021806002
0.006318808	0.008841991	0.021808624
0.006407261	0.008923769	0.021990776
0.006474495	0.008993387	0.021879435
0.006332874	0.008815765	0.021795034
0.006316900	0.008850813	0.021817446
0.006456137	0.008962870	0.021804094
0.006442785	0.008984804	0.021803856
0.006320000	0.008807182	0.021782398
0.006317139	0.008811951	0.021790743
0.006401539	0.008936167	0.022138834
0.006450653	0.008975029	0.021791220
0.006318808	0.008820295	0.021748304
0.006332636	0.008853912	0.021799564
