data_stall_time	cpu2gpu_time	gpu_time
4.339412689	0.001588106	0.056175470
0.000439882	0.001588106	0.052589655
0.000269175	0.001588106	0.052595139
0.000278950	0.001588106	0.052587986
0.000264645	0.001588106	0.061514378
0.000323296	0.001588106	0.057678699
0.019376755	0.001588106	0.052584887
0.000304461	0.001588106	0.059787989
0.000494003	0.001588106	0.059423923
0.000754118	0.001588106	0.058665991
0.000514746	0.001588106	0.056438923
0.000562668	0.001588106	0.055808544
0.000307083	0.001588106	0.056481123
0.000437021	0.001588106	0.057682753
0.021210194	0.001588106	0.057681322
0.000541925	0.001588106	0.055614471
0.000339031	0.001588106	0.053974867
0.000360489	0.001588106	0.057690859
0.020813227	0.001588106	0.057682514
0.016839981	0.001588106	0.057677746
0.020822048	0.001588106	0.057666779
0.024201393	0.001588106	0.054571867
0.000379562	0.001588106	0.057690859
0.020780563	0.001588106	0.057791233
0.000809431	0.001588106	0.052639723
0.000594139	0.001588106	0.052593231
0.000543594	0.001588106	0.052645445
0.000605822	0.001588106	0.052614689
0.000693798	0.001588106	0.052638769
0.000364304	0.001588106	0.052640676
0.000576258	0.001588106	0.052659273
0.000562191	0.001588106	0.065852880
0.000400305	0.001588106	0.057101488
0.000379562	0.001588106	0.066747665
0.000622034	0.001588106	0.056180477
0.000260592	0.001588106	0.057680845
0.015679359	0.001588106	0.057684660
0.000555515	0.001588106	0.057667494
0.000560522	0.001588106	0.057667494
0.020755291	0.001588106	0.057682037
0.025090456	0.001588106	0.059372663
0.000397205	0.001588106	0.056904078
0.000596762	0.001588106	0.065697908
0.000431061	0.001588106	0.055826664
0.000408411	0.001588106	0.057532549
0.000428200	0.001588106	0.058062077
0.000384569	0.001588106	0.057745218
0.033040524	0.001588106	0.057670116
0.020831347	0.001588106	0.057683468
0.000488281	0.001588106	0.055825710
0.000279427	0.001588106	0.054734230
0.000349998	0.001588106	0.057677507
0.024611235	0.001588106	0.055845976
0.000278711	0.001588106	0.057672262
0.020790577	0.001588106	0.064288855
0.000357866	0.001588106	0.052592278
0.000424147	0.001588106	0.052587032
0.000351191	0.001588106	0.057680130
0.034763098	0.001588106	0.062137604
0.000492811	0.001588106	0.052607059
0.000545740	0.001588106	0.055713654
0.000419617	0.001588106	0.056279659
0.000414371	0.001588106	0.055765629
0.000343323	0.001588106	0.063322544
0.000261784	0.001588106	0.052587986
0.000243902	0.001588106	0.076705933
0.000359297	0.001588106	0.054351330
0.000386953	0.001588106	0.057678938
0.020629406	0.001588106	0.057672501
0.000532627	0.001588106	0.052589417
0.000330687	0.001588106	0.053261042
0.000383377	0.001588106	0.062047958
0.056902170	0.001588106	0.072345734
0.000470400	0.001588106	0.072202206
0.000884533	0.001588106	0.052594662
0.000370026	0.001588106	0.052592993
0.000355959	0.001588106	0.057688236
0.000602722	0.001588106	0.052581787
0.000450850	0.001588106	0.057666302
0.000793695	0.001588106	0.052602053
0.000588417	0.001588106	0.052597761
0.000464678	0.001588106	0.052601576
0.000380993	0.001588106	0.052589178
0.000441074	0.001588106	0.052578211
0.000320911	0.001588106	0.057665110
0.020695686	0.001588106	0.057669878
0.000587463	0.001588106	0.069183350
0.000515223	0.001588106	0.057681561
0.015651226	0.001588106	0.057675600
0.017519474	0.001588106	0.057669163
0.031131983	0.001588106	0.052601099
0.000397921	0.001588106	0.057676792
0.020827532	0.001588106	0.057688713
0.000553131	0.001588106	0.056765556
0.000445366	0.001588106	0.057696581
0.021138191	0.001588106	0.057686090
0.191822767	0.001588106	0.056837559
0.000417948	0.001588106	0.052592993
0.000439167	0.001588106	0.057667971
0.017892122	0.001588106	0.062498331
0.000719786	0.001588106	0.057686329
0.000682831	0.001588106	0.056754589
0.000279188	0.001588106	0.052592993
0.000315428	0.001588106	0.052596092
0.000449181	0.001588106	0.052587032
0.000362873	0.001588106	0.052594662
0.000474691	0.001588106	0.057651758
0.017312765	0.001588106	0.052581310
0.000270844	0.001588106	0.059523821
0.000339508	0.001588106	0.052579165
0.000271559	0.001588106	0.069298506
0.000411272	0.001588106	0.057687044
0.015708208	0.001588106	0.057689428
0.020240307	0.001588106	0.055034399
0.000475168	0.001588106	0.052638292
0.000632763	0.001588106	0.057694435
0.020717621	0.001588106	0.063869238
0.000517368	0.001588106	0.056169033
0.000831366	0.001588106	0.057682753
0.026203871	0.001588106	0.056549311
0.381487846	0.001588106	0.081439972
0.000310421	0.001588106	0.052606821
0.000327110	0.001588106	0.071073055
0.000491619	0.001588106	0.052597761
0.000454664	0.001588106	0.052591085
0.000273228	0.001588106	0.073610783
0.000651121	0.001588106	0.072188616
0.000292301	0.001588106	0.064400673
0.000543833	0.001588106	0.057694197
0.020760775	0.001588106	0.057688475
0.000575066	0.001588106	0.057655573
0.020605087	0.001588106	0.057734251
0.024649382	0.001588106	0.052590370
0.000311136	0.001588106	0.053694963
0.000338793	0.001588106	0.055141449
0.000509262	0.001588106	0.056178808
0.000383377	0.001588106	0.057673931
0.020856857	0.001588106	0.057678461
0.000720501	0.001588106	0.066322803
0.000479221	0.001588106	0.057765007
0.021336317	0.001588106	0.052604437
0.000319481	0.001588106	0.056134939
0.000234365	0.001588106	0.057676077
0.020754814	0.001588106	0.052591801
0.470694542	0.001588106	0.057667971
0.035142899	0.001588106	0.056291342
0.000252724	0.001588106	0.052587032
0.000323057	0.001588106	0.061237335
0.000327110	0.001588106	0.053218126
0.000432014	0.001588106	0.072258472
0.000336170	0.001588106	0.061027288
0.035191298	0.001588106	0.055798769
0.000335693	0.001588106	0.057674408
0.020748854	0.001588106	0.057673931
0.000505686	0.001588106	0.056972742
0.000388145	0.001588106	0.053026676
0.000329494	0.001588106	0.057662964
0.015703917	0.001588106	0.057676315
0.028568029	0.001588106	0.057669640
0.021087885	0.001588106	0.053687096
0.000310659	0.001588106	0.052595377
0.000475407	0.001588106	0.052612305
0.000268936	0.001588106	0.052593470
0.000440121	0.001588106	0.052588224
