preprocess_time	gpu_time
3.690917015	5.863736391
0.001829863	0.014393330
0.000047922	0.024721146
0.000028133	0.025711298
0.000023842	0.026999235
0.000023842	0.025662661
0.000024080	0.025579453
0.000023365	0.025709152
0.000024319	0.025383949
0.000024557	0.025114059
0.000023365	0.025596619
0.012131453	0.025749922
0.000027180	0.025438070
0.000024557	0.025459290
0.000024080	0.025298834
0.000024319	0.025243759
0.000024319	0.025502920
0.000022411	0.025247812
0.003913164	0.025426626
0.008469582	0.025386810
0.017349482	0.031063080
0.016290665	0.030630112
0.026828289	0.041746140
0.023528099	0.038304806
0.036105871	0.051248312
0.032435894	0.047167778
0.045764685	0.060467243
0.022971392	0.034617901
0.014827013	0.027740955
0.012948036	0.025264263
0.014640808	0.028116703
0.016413927	0.027889013
0.009646654	0.024907827
0.011476278	0.025877714
0.015933990	0.029174805
0.028631210	0.043038130
0.024318695	0.036839485
0.025549412	0.038255215
0.013820648	0.026390076
0.015450478	0.027816296
0.016279221	0.028765440
0.014004707	0.025711298
0.041393280	0.055392981
0.017318726	0.029712200
0.011198997	0.025211573
0.024462223	0.038077354
0.018552065	0.031189203
0.007035971	0.024369240
0.022144794	0.036733627
0.020364046	0.032590389
0.011781216	0.025306463
0.014096737	0.025457382
0.036765814	0.050049782
0.034106970	0.048525810
0.023944139	0.036378860
0.020358562	0.034037113
0.021485567	0.033690214
0.008429766	0.025105953
0.001854420	0.024735212
0.005215406	0.024301529
0.016478300	0.030498028
0.018980503	0.031068325
0.014279842	0.026579618
0.012912989	0.025302410
0.022123575	0.036768675
0.021964073	0.034342051
0.011982441	0.025101423
0.005980968	0.025029182
0.008121252	0.024845839
0.019073963	0.031593561
0.024910927	0.039751053
0.021042109	0.033289671
0.027121067	0.041704416
0.020935059	0.033534765
0.015262365	0.028119564
0.006287575	0.024600029
0.009568214	0.026932240
0.014534712	0.027040243
0.034415722	0.050148010
0.021194935	0.033497572
0.025268316	0.037920237
0.024121046	0.036484241
0.010205030	0.025094032
0.029053450	0.042612553
0.031295061	0.043674707
0.020047426	0.033005953
0.018502712	0.030892849
0.021849871	0.033941269
0.011599302	0.025423765
0.006744862	0.024728060
0.019154787	0.032508850
0.023040295	0.035200357
0.021504641	0.034867287
0.019004345	0.031366825
0.011483192	0.025278330
0.010522127	0.024882317
0.006732464	0.025410414
0.001055479	0.024673700
0.001571178	0.024345398
0.018697977	0.032927513
0.028671741	0.041792870
0.026369810	0.039175987
0.013950109	0.026240826
0.007512331	0.024885178
0.021822453	0.036329508
0.021622419	0.033863783
0.009623051	0.025169849
0.004208326	0.024942636
0.000831842	0.024673462
0.000511646	0.025166750
0.002705812	0.024269342
0.015288115	0.026651621
0.040084124	0.052696943
0.024813890	0.036467552
0.011276007	0.025011301
0.008303404	0.024968624
0.003921270	0.025542259
0.000032902	0.024591684
0.004831314	0.024894953
0.022672653	0.036081553
0.022822618	0.034664154
0.023135900	0.035278559
0.026354313	0.040493250
0.022119045	0.034412384
0.015357018	0.028423071
0.030662775	0.044515610
0.022578239	0.034779549
0.019165039	0.032110929
0.014878035	0.027255058
0.009364367	0.024616718
0.013107538	0.025683165
0.021517754	0.033641100
0.013234615	0.025611401
0.009480238	0.024826765
0.012166262	0.025652885
0.031444311	0.044864893
0.024698019	0.037075043
0.024969101	0.039017916
0.015661240	0.028017044
0.012453794	0.025122643
0.012714148	0.025521994
0.014087200	0.025375128
0.020818949	0.035736799
0.027643919	0.039829254
0.028738260	0.042940855
0.023750067	0.036134958
0.023842573	0.036412239
0.017755747	0.030804396
0.014964819	0.028483152
0.035133839	0.049604416
0.020893574	0.034695387
0.024326563	0.036818743
0.016511440	0.029053211
0.013013840	0.025418520
0.014339685	0.027383566
0.031981230	0.046399117
0.037871599	0.054309845
0.031829596	0.047004461
0.021375179	0.033549309
0.019228697	0.032666206
0.031867743	0.046628952
0.018098593	0.030149937
0.010525465	0.025155306
0.014575720	0.027760506
0.023744345	0.036180973
0.009924173	0.024736881
0.012541771	0.028057098
0.027193069	0.039843798
0.021241426	0.033456564
0.011882782	0.025297880
0.036849499	0.051552773
0.026859522	0.039924860
0.032683611	0.046842098
0.026302814	0.038870811
0.020624638	0.036874771
0.025644302	0.038343430
0.010716200	0.024589300
0.015903473	0.029095173
0.027521133	0.040805578
0.023004770	0.035803080
0.029350281	0.043320894
0.033828259	0.048285007
0.022930861	0.035301208
0.007049084	0.025070906
0.004983425	0.024292707
0.002900600	0.025180578
0.001909733	0.025071621
0.003735542	0.024907589
0.005965233	0.024596930
0.009986639	0.025463104
0.016778708	0.028452158
0.025278568	0.037568808
0.013022423	0.025597095
0.018314362	0.031156540
0.024955511	0.039365530
0.025218248	0.039584160
0.021051168	0.033825636
0.010527611	0.024776459
0.004946232	0.025082111
0.001996517	0.024956465
0.000026464	0.024099827
0.015776396	0.027287245
0.023975849	0.035367489
0.013283968	0.024949312
0.025257587	0.038751841
0.025360107	0.039675474
0.024473190	0.036741495
0.016229153	0.030252934
