preprocess_time	gpu_time
3.988976479	6.709839344
0.002631903	0.022274017
0.000050306	0.041188002
0.000036478	0.040552616
0.000029802	0.040391445
0.000032187	0.040115356
0.017732382	0.040775299
0.071170330	0.090905428
0.083790541	0.103520870
0.074822426	0.094939709
0.073872089	0.093855619
0.074251652	0.094112635
0.069744825	0.089736700
0.075480700	0.094889641
0.075817108	0.095605135
0.080801010	0.100593328
0.088195324	0.107719660
0.055564642	0.075569153
0.063091755	0.082376003
0.080346584	0.099781752
0.076862335	0.096435070
0.079203844	0.098262787
0.056030512	0.075389147
0.081920385	0.100913525
0.067127705	0.086526632
0.071830511	0.091018438
0.054481983	0.073935509
0.066864967	0.086052656
0.074878693	0.094168186
0.066720963	0.086071253
0.055735826	0.075110435
0.088129997	0.106942654
0.069035292	0.088306904
0.078036785	0.096688747
0.075301886	0.095712423
0.079874516	0.098972321
0.062434435	0.081844568
0.063680649	0.082674265
0.081508160	0.100475311
0.085506916	0.104537487
0.066598654	0.085774183
0.053341627	0.072719574
0.057688713	0.076803446
0.084893703	0.104199648
0.082606077	0.101329803
0.089232206	0.108387709
0.087893009	0.106951237
0.075189114	0.094604254
0.067933321	0.086993933
0.060906887	0.080289125
0.072556734	0.091561079
0.065504551	0.084837437
0.071730614	0.091216564
0.061425686	0.080457687
0.076045513	0.095178604
0.075746298	0.095171452
0.066516638	0.085839033
0.074931145	0.094013453
0.083045483	0.102298737
0.082103729	0.101493359
0.063244820	0.082226038
0.073123217	0.092182398
0.082408905	0.101083040
0.072521210	0.091734648
0.077099800	0.096433163
0.078793049	0.097805023
0.074407101	0.093396902
0.063405514	0.082825422
0.079613447	0.098995447
0.064008951	0.084383726
0.081591606	0.101094961
0.078207254	0.098383904
0.064402103	0.083900928
0.073556662	0.093381882
0.082448006	0.102176428
0.069030046	0.089446306
0.076314211	0.096020460
0.062299252	0.081899881
0.072423458	0.091968060
0.071325779	0.091077089
0.052546978	0.072265387
0.064271927	0.084477425
0.069174290	0.088988543
0.079689980	0.099220276
0.067667246	0.087303877
0.067863703	0.087652445
0.063746691	0.083227158
0.085152864	0.104680777
0.060024023	0.079708815
0.071512938	0.092041731
0.055431843	0.075347185
0.075592041	0.095830202
0.065527916	0.085402250
0.079563379	0.099263906
0.072681427	0.092433691
0.049147129	0.069175720
0.074390888	0.093739033
0.068731070	0.089262486
0.080011845	0.099789858
0.071652651	0.091399431
0.066515207	0.086319685
0.071059227	0.090348244
0.070567131	0.089467764
0.080693007	0.100439310
0.065935135	0.085781336
