data_stall_time	cpu2gpu_time	gpu_time
1.838101864	0.001766205	0.411707401
0.000430822	0.001766205	0.411734581
0.000545502	0.001766205	0.411700010
0.000383854	0.001766205	0.411738873
0.000407934	0.001766205	0.411720991
0.000367880	0.001766205	0.411731482
0.000401735	0.001766205	0.411736727
0.000721455	0.001766205	0.411726236
0.000509024	0.001766205	0.411736250
0.000418425	0.001766205	0.411759615
0.000609159	0.001766205	0.411740303
0.000391245	0.001766205	0.411709547
0.000402451	0.001766205	0.411736965
0.000443697	0.001766205	0.411730051
0.000389814	0.001766205	0.411740780
0.000533342	0.001766205	0.411733627
0.000423670	0.001766205	0.429279089
0.000478983	0.001766205	0.411744356
0.000422955	0.001766205	0.411733627
0.000395060	0.001766205	0.411730051
0.000419855	0.001766205	0.411756754
0.000660896	0.001766205	0.411714792
0.000445604	0.001766205	0.411738873
0.000557423	0.001766205	0.416862726
0.016022205	0.001766205	0.411741018
0.000416040	0.001766205	0.411737919
0.000412703	0.001766205	0.411740780
0.000436544	0.001766205	0.411735773
0.000432491	0.001766205	0.423200130
0.000447989	0.001766205	0.411736250
0.000420094	0.001766205	0.411742687
0.000516415	0.001766205	0.411767006
0.000802517	0.001766205	0.411741734
0.000453472	0.001766205	0.416829586
0.022285938	0.001766205	0.411741018
0.000436544	0.001766205	0.411739826
0.000436306	0.001766205	0.411740780
0.000431776	0.001766205	0.411720037
0.000423908	0.001766205	0.411728144
0.000545502	0.001766205	0.411741018
0.000417471	0.001766205	0.411742210
0.000426531	0.001766205	0.411741257
0.000420094	0.001766205	0.416369438
0.000444412	0.001766205	0.411738396
0.000400782	0.001766205	0.411711216
0.000448227	0.001766205	0.411717415
0.000412941	0.001766205	0.424545288
0.000651836	0.001766205	0.411729813
0.000607729	0.001766205	0.411741257
0.000437260	0.001766205	0.411748171
0.000394583	0.001766205	0.411737204
0.000416756	0.001766205	0.411735773
0.000423193	0.001766205	0.411690474
0.000727177	0.001766205	0.411718607
0.000428200	0.001766205	0.411741495
0.000429153	0.001766205	0.411755562
0.000890732	0.001766205	0.411745787
0.000449657	0.001766205	0.411713123
0.000412941	0.001766205	0.411740303
0.000431538	0.001766205	0.411738634
0.000437021	0.001766205	0.411741495
0.000446320	0.001766205	0.411711693
0.000422239	0.001766205	0.411740541
0.000444412	0.001766205	0.411739826
0.000415802	0.001766205	0.411741734
0.000444651	0.001766205	0.411742687
0.000421762	0.001766205	0.411739111
0.000458479	0.001766205	0.420397520
0.000470877	0.001766205	0.411699772
0.000399590	0.001766205	0.411739588
0.000420094	0.001766205	0.411756277
0.000602245	0.001766205	0.411742449
0.000424623	0.001766205	0.411726952
0.000399351	0.001766205	0.411736012
0.000422478	0.001766205	0.411760330
0.000438213	0.001766205	0.411739826
0.000423908	0.001766205	0.411694288
0.000416994	0.001766205	0.411736727
0.000422001	0.001766205	0.411742210
0.000446320	0.001766205	0.411775112
0.000817776	0.001766205	0.411739826
0.000447035	0.001766205	0.411737680
0.000427246	0.001766205	0.411730289
0.000398159	0.001766205	0.411739111
0.000422001	0.001766205	0.411736727
0.000442982	0.001766205	0.411728621
0.000428677	0.001766205	0.416800976
0.015924692	0.001766205	0.411754608
0.000422001	0.001766205	0.411734104
0.000430107	0.001766205	0.411736012
0.000423193	0.001766205	0.411757708
0.000447750	0.001766205	0.411737442
0.000422955	0.001766205	0.416797638
0.015909672	0.001766205	0.411740065
0.000478268	0.001766205	0.411739111
0.000427246	0.001766205	0.411759615
0.000594139	0.001766205	0.411738157
0.000444889	0.001766205	0.411735535
0.000443697	0.001766205	0.416870832
0.015918970	0.001766205	0.411739826
0.000433922	0.001766205	0.411736727
0.000437021	0.001766205	0.411731958
0.000445843	0.001766205	0.419509888
0.000522375	0.001766205	0.411743641
0.000414133	0.001766205	0.425625563
0.000518084	0.001766205	0.411715984
0.000421762	0.001766205	0.411770582
0.000827312	0.001766205	0.411733627
0.000443220	0.001766205	0.411700249
0.000406742	0.001766205	0.411735296
0.000421524	0.001766205	0.411747456
0.000432730	0.001766205	0.411739349
0.000422478	0.001766205	0.411745310
0.000445366	0.001766205	0.411751747
0.000432730	0.001766205	0.411735296
