batch_size	gpu_time
1	0.0112398518222
2	0.0126714705778
3	0.0143045213333
4	0.0162341383111
5	0.0183213021778
6	0.0200714164444
7	0.0220064321778
8	0.0236769147333
9	0.0254457685556
10	0.0272435823778
11	0.0290188154
12	0.0308427863778
13	0.0325466686667
14	0.0341616259111
15	0.0359268558889
16	0.0377691639778
17	0.0397099018667
18	0.0414132700444
19	0.0430455207778
20	0.0448339886222
21	0.0467669911111
22	0.0483943409111
23	0.0502395630667
24	0.0519427193333
25	0.0538665983111
26	0.0555843194222
27	0.0573388894889
28	0.0592318269778
29	0.0609166251556
30	0.0628311898667
31	0.0643852180667
32	0.0660538408222
33	0.0688197824667
34	0.0706665992889
35	0.0726019223778
36	0.0742671913333
37	0.0760547955778
38	0.0777661429778
39	0.0795768261111
40	0.0812982665556
41	0.0831557115111
42	0.0850066502667
43	0.0866432878667
44	0.0884313530444
45	0.0902205096
46	0.0919152843111
47	0.0936782678222
48	0.0954107443778
49	0.0973746034889
50	0.0991167544889
51	0.100931930556
52	0.102628691978
53	0.1043053256
54	0.106066258711
55	0.107828230333
56	0.109750249667
57	0.1114968194
58	0.113270139733
59	0.115057669756
60	0.116828065422
61	0.118547513822
62	0.120422093089
63	0.122119871822
64	0.124140686511
65	0.128036859289
66	0.1297535896
67	0.131431240511
68	0.133195654578
69	0.134953435311
70	0.136795971156
71	0.138562054178
72	0.140352000111
73	0.142075898956
74	0.144023434311
75	0.145795191578
76	0.147503905867
77	0.14918499
78	0.150903966644
79	0.152722448733
80	0.154327985933
81	0.1563438416
82	0.158080191111
83	0.159829632356
84	0.161608717133
85	0.163510783489
86	0.165050337089
87	0.166891082133
88	0.168668556244
89	0.1706945154
90	0.172527530444
91	0.174022706289
92	0.175844377911
93	0.177494382867
94	0.179455004733
95	0.181081803667
96	0.182831811867
97	0.184729072689
98	0.186671135089
99	0.188288259467
100	0.189983696467
101	0.191737884978
102	0.193869823956
103	0.195365132289
104	0.197112909978
105	0.199002525578
106	0.200862985178
107	0.202563778622
108	0.204310332489
109	0.206060435978
110	0.208026340289
111	0.209548510444
112	0.211214325111
113	0.213431549156
114	0.215184677956
115	0.216830264222
116	0.218593549733
117	0.220115555689
118	0.221990447533
119	0.223978344622
120	0.2253625234
121	0.227354701311
122	0.229061979667
123	0.231071620489
124	0.232598479556
125	0.234459484956
126	0.236462614333
127	0.237956417911
128	0.239635192067
129	0.245206668644
130	0.246945518889
131	0.248657984222
132	0.250397390756
133	0.252011182578
134	0.254159471778
135	0.255544000222
136	0.2579323292
137	0.259499740556
138	0.261321878356
139	0.262692636978
140	0.264744287133
141	0.266377311267
142	0.268007887733
143	0.269982867844
144	0.271852005844
145	0.273803769222
146	0.275386667156
147	0.277101013289
148	0.279072480711
149	0.2805697124
150	0.2825897058
151	0.284412267489
152	0.286236111267
153	0.287604734644
154	0.289615186133
155	0.291539944556
156	0.293234560156
157	0.295196029889
158	0.296816704067
159	0.298424355111
160	0.300193029022
161	0.302304410889
162	0.304063193067
163	0.305535639644
164	0.307454098556
165	0.309401469756
166	0.311046006978
167	0.312709045356
168	0.314430035444
169	0.316401439356
170	0.318321620044
171	0.319746626733
172	0.321722539222
173	0.3230038378
174	0.325247097022
175	0.326839097311
176	0.328451538089
