cpu2gpu_time	gpu_time
0.000779629	0.326933146
0.000544786	0.026952982
0.000536203	0.026934624
0.000580072	0.027057409
0.000530958	0.026973963
0.000581264	0.027044773
0.000551224	0.026437521
0.000564098	0.025554180
0.000554562	0.025694132
0.000573874	0.026122570
0.000666618	0.025347471
0.000547409	0.025370121
0.000547171	0.025389433
0.000567198	0.025421381
0.000544310	0.025371790
0.000533104	0.027162552
0.000560045	0.025409222
0.000565529	0.025387049
0.000565052	0.025244951
0.000532627	0.025303364
0.000616312	0.025373220
0.000589609	0.025272131
0.000550508	0.025618792
0.000550985	0.025308371
0.000571489	0.025247812
0.000559568	0.025695086
0.000548601	0.025229931
0.000527859	0.025195837
0.000546217	0.025313616
0.000541210	0.025216341
0.000574112	0.025358200
0.000549316	0.025288820
0.000548601	0.025263309
0.000540972	0.025195360
0.000571966	0.025387764
0.000573158	0.025298357
0.000553846	0.025272131
0.000550985	0.025335312
0.000571251	0.025431871
0.000550508	0.025219440
0.000584364	0.025281906
0.000595093	0.025275946
0.000580311	0.025301933
0.000608444	0.025259733
0.000552177	0.025272846
0.000557661	0.025228024
0.000531912	0.025672197
0.000534773	0.025156260
0.000562429	0.025266647
0.000552893	0.025226593
0.000536442	0.026607990
0.000624180	0.025270462
0.000539780	0.025204659
0.000556231	0.025369167
0.000612259	0.025245905
0.000544548	0.025197744
