data_stall_time	cpu2gpu_time	gpu_time
6.247776747	0.002076149	0.047178745
0.000619650	0.002076149	0.052670717
0.000582695	0.002076149	0.031067133
0.000573635	0.002076149	0.031079292
0.000373840	0.002076149	0.031072378
0.000442505	0.002076149	0.031068802
0.000376701	0.002076149	0.031072617
0.000382662	0.002076149	0.031067371
0.000346422	0.002076149	0.031083345
0.000385761	0.002076149	0.031069517
0.000431299	0.002076149	0.031073809
0.000469685	0.002076149	0.031043053
0.000284672	0.002076149	0.036139965
0.030715942	0.002076149	0.031077385
0.000277758	0.002076149	0.031074524
0.000325680	0.002076149	0.031068325
0.000331402	0.002076149	0.036144733
0.015556574	0.002076149	0.031073809
0.000289679	0.002076149	0.031072378
0.000420809	0.002076149	0.031070948
0.000293016	0.002076149	0.031081915
0.000295877	0.002076149	0.031076431
0.000312805	0.002076149	0.031067133
0.000291348	0.002076149	0.036147118
0.010506392	0.002076149	0.036144018
0.015731812	0.002076149	0.036151886
0.015582323	0.002076149	0.034805775
0.000417709	0.002076149	0.055521965
0.000533104	0.002076149	0.036183596
0.015641212	0.002076149	0.034313917
0.000381231	0.002076149	0.036143780
0.015634537	0.002076149	0.036126375
0.027109861	0.002076149	0.055747032
0.000520945	0.002076149	0.055309296
0.000809193	0.002076149	0.059111834
0.000996590	0.002076149	0.059176683
0.000649452	0.002076149	0.059311628
0.000647306	0.002076149	0.054851294
0.000686169	0.002076149	0.058223724
0.000421286	0.002076149	0.057934284
0.989418745	0.002076149	0.047107935
0.000478745	0.002076149	0.046189547
0.000442743	0.002076149	0.047817707
0.056577682	0.002076149	0.046646833
0.000372648	0.002076149	0.046999216
0.000361204	0.002076149	0.048501968
0.000363588	0.002076149	0.031122208
0.000241995	0.002076149	0.031080246
0.000255585	0.002076149	0.031078100
0.000256777	0.002076149	0.031078815
0.000490665	0.002076149	0.031071424
0.000431776	0.002076149	0.031080008
0.000206232	0.002076149	0.031085730
0.000208139	0.002076149	0.031077385
0.000355482	0.002076149	0.031080484
0.000294924	0.002076149	0.031080723
0.000275135	0.002076149	0.031077147
0.000228167	0.002076149	0.031080008
0.000280142	0.002076149	0.031079769
0.000273943	0.002076149	0.031094313
0.000496387	0.002076149	0.031068802
0.000227451	0.002076149	0.031076670
0.000378847	0.002076149	0.031026602
0.000252247	0.002076149	0.031070232
0.000291348	0.002076149	0.031073332
0.000317812	0.002076149	0.036152363
0.015491247	0.002076149	0.031072855
0.000264883	0.002076149	0.031069517
0.000277996	0.002076149	0.031117201
0.000205994	0.002076149	0.031090498
0.000298023	0.002076149	0.031074762
0.000253916	0.002076149	0.036146164
0.010425568	0.002076149	0.031393290
0.000538826	0.002076149	0.050234318
0.000459433	0.002076149	0.047761440
0.000527859	0.002076149	0.047246456
0.000428200	0.002076149	0.059413195
0.000628233	0.002076149	0.050542355
0.000492334	0.002076149	0.050521374
0.000583172	0.002076149	0.049176693
0.012367487	0.002076149	0.051044703
0.000438213	0.002076149	0.050580263
0.169643164	0.002076149	0.052350044
1.417300701	0.002076149	0.031081676
0.000419617	0.002076149	0.031080008
0.000351191	0.002076149	0.036157370
0.054356098	0.002076149	0.054033518
0.000481606	0.002076149	0.036147356
0.015563250	0.002076149	0.031082869
0.000257492	0.002076149	0.031203270
0.000307322	0.002076149	0.031131506
0.000245810	0.002076149	0.031074047
0.000263214	0.002076149	0.031074047
0.000367880	0.002076149	0.031070471
0.000275850	0.002076149	0.031067848
0.000377178	0.002076149	0.031076193
0.000251055	0.002076149	0.031085730
0.000320911	0.002076149	0.031077862
0.000200987	0.002076149	0.036135197
0.015577316	0.002076149	0.031089544
0.000358820	0.002076149	0.031078339
0.000208855	0.002076149	0.031082153
0.000298500	0.002076149	0.031089783
0.000277519	0.002076149	0.036147594
0.019126654	0.002076149	0.036201000
0.015710831	0.002076149	0.036175728
0.019081116	0.002076149	0.046508789
0.000448227	0.002076149	0.049713135
0.000606775	0.002076149	0.048457861
0.000415802	0.002076149	0.047171116
0.000437260	0.002076149	0.054106236
0.000360727	0.002076149	0.055431843
0.000468969	0.002076149	0.048471212
0.000306368	0.002076149	0.048285961
0.000591516	0.002076149	0.046343327
0.000474930	0.002076149	0.046475172
0.000371218	0.002076149	0.056024313
0.000446320	0.002076149	0.049545765
0.000356197	0.002076149	0.049008608
0.000307322	0.002076149	0.048798323
0.000306845	0.002076149	0.047533512
0.000610113	0.002076149	0.051105976
0.000348806	0.002076149	0.047445536
0.596787691	0.002076149	0.045659065
0.000427485	0.002076149	0.048107624
0.000286818	0.002076149	0.047227144
0.000329733	0.002076149	0.046168089
0.053664446	0.002076149	0.031079054
0.000252962	0.002076149	0.031076908
0.000424147	0.002076149	0.031075239
0.000286341	0.002076149	0.031079531
0.000300884	0.002076149	0.036138535
0.025421858	0.002076149	0.052122116
0.000436783	0.002076149	0.031072617
0.000255585	0.002076149	0.031074762
0.000262022	0.002076149	0.031078100
0.000284195	0.002076149	0.031072855
0.000351429	0.002076149	0.031067371
0.000240564	0.002076149	0.031071901
0.000347853	0.002076149	0.031073570
0.000250340	0.002076149	0.031076431
0.000387192	0.002076149	0.031071901
0.000255346	0.002076149	0.031073093
